title,publish_time,like_count,comment_count,media_name,source,abstract,article_url,tag,is_yaowen,article_sub_type,has_video
现场聆听总书记重要讲话，民营企业家们这样说,2025-02-18 23:10,1197,1377,人民日报,人民日报,2月17日，习近平总书记出席民营企业座谈会并发表重要讲话，充分肯定民营经济发展取得的重大成就和为国家经济社会发展作出的重要贡献，强调要正确认识民营经济发展面临的机遇和挑战，对当前和今后一个时期促进民营经济健康发展、高质量发展作了全面部署。,https://www.peopleapp.com/column/30048294687-500006099039?utm_source=头条号&promote=true,,0,0,False
“前景广阔、大有可为”，习近平寄语民营经济,2025-02-18 04:31,403,1117,中国新闻网,中国新闻网,“新时代新征程民营经济发展前景广阔、大有可为，广大民营企业和民营企业家大显身手正当其时。”中共中央总书记、国家主席、中央军委主席习近平17日上午在北京出席民营企业座谈会并发表重要讲话。,http://ku.m.chinanews.com/wapapp/cns/gn/2025/02-18/10370326.shtml,,0,0,False
突发：加拿大多伦多客机坠毁，正巧被另一客机乘客拍下全过程,2025-02-18 23:46,11866,1581,优雅叶子Dp,优雅叶子Dp,,https://toutiao.com/group/7472909712212689444/,,0,0,True
公公竟然和儿媳偷情，哪料被妻子撞见，这下有戏看了！,2025-01-21 08:05,13352,1076,南瓜午夜厅,南瓜午夜厅,,https://toutiao.com/group/7462273852651979274/,,0,0,True
震撼！十秒内连续弹射三架重型战斗机！,2025-01-18 23:48,15849,2188,辉哥杂谈。,辉哥杂谈。,,https://toutiao.com/group/7461406546325406218/,,0,0,True
俄发起“斩首”行动，乌克兰报复美国，英法德开始怕了,2025-02-18 08:30,3557,211,星河文史,星河文史,,https://toutiao.com/group/7472673667395142195/,,0,0,True
华为200万年薪都留不住他！天才少年彭志辉离职后，现状曝光,2025-01-16 09:28,8717,1160,与君説,与君説,在阅读此文之前，麻烦您点击一下“关注”，既方便您进行讨论和分享，又能给您带来不一样的参与感，感谢您的支持文、编辑|小娄你敢相信吗？大厂华为200万年薪的工作，竟然也有人不屑一顾。入职华为两年后，彭志辉毅然决然选择离职。,https://toutiao.com/group/7460439446131884579/,,0,0,False
巴铁媳妇金子没捞着回巴基斯坦了想带孩子走！你想的真美赶紧走吧,2025-01-26 03:12,9937,3560,彭学成,彭学成,,https://toutiao.com/group/7464042748732080703/,,0,0,True
媳妇玩到半夜才回来，以为老公不在家，进门这操作把老公看懵了,2025-01-24 09:38,12140,3312,滕菲,滕菲,,https://toutiao.com/group/7463414214191743497/,,0,0,True
父母都已不在，男子还未成家，一个人回家过年，鞭炮也不能少。,2025-02-13 10:15,31554,4889,乐天派叶子,乐天派叶子,,https://toutiao.com/group/7470845080074502667/,,0,0,True
